external_id,site,finalidade,tipo,titulo,preco,preco_m2,area_m2,quartos,banheiros,vagas,suites,andar,numero_endereco,bairro,cidade,estado,condominio,iptu,endereco,descricao,portaria,vista_mar,condominio_fechado,piscina,deck,varanda_gourmet,varanda,academia,salao_festa,salao_jogos,quadra_campo,latitude,longitude,is_lancamento,data_coleta,url
olx_olx_dom_32067707746149,OLX,venda,apartamento,Edifício Antônio José Imóvel para venda possui 71m com 3 quartos em Aldeota - Fortaleza -,235000.0,3309.86,71,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:40:15+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-antonio-jose-imovel-para-venda-possui-71m-com-3-quartos-em-aldeota-fortaleza-1510337270
olx_olx_dom_134251618226184,OLX,venda,apartamento,Apartamento Studio 27m2 - Aldeota - Praça Portugal - Lazer & Moderno - Desde R$ 244.000 Pa,244000.0,9037.04,27,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:42:00+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-studio-27m2-aldeota-praca-portugal-lazer-moderno-desde-r-244-000-pa-1509293329
olx_olx_dom_220782898567402,OLX,venda,apartamento,Studios | iHome Collection Aldeota | Studios Inteligentes com Gestão Housi,301288.0,15064.4,20,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:12+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/studios-ihome-collection-aldeota-studios-inteligentes-com-gestao-housi-1512092559
olx_olx_dom_41287626389419,OLX,venda,apartamento,"Apartamento na Aldeota, 3 Quartos com Suíte, 01 Banheiro Social, Dependência Funcionário",320000.0,,,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:39:49+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-na-aldeota-3-quartos-com-suite-01-banheiro-social-dependencia-funcionario-1510667468
olx_olx_dom_152581098231845,OLX,venda,apartamento,Imóvel para venda com 110 metros quadrados com 3 quartos em Aldeota - Fortaleza - CE,330000.0,3000.0,110,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:40:00+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/imovel-para-venda-com-110-metros-quadrados-com-3-quartos-em-aldeota-fortaleza-ce-1510600678
olx_olx_dom_170620130966907,OLX,venda,apartamento,"Apartamento com 3 quartos à venda, 102 m² por R$ 350.000 - Aldeota - Fortaleza/CE",350000.0,3431.37,102,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:37:24+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-quartos-a-venda-102-m-por-r-350-000-aldeota-fortaleza-ce-1511726205
olx_olx_dom_39783740039909,OLX,venda,apartamento,"Edifício Rachell - Apartamento á Venda com 3 quartos, 1 vaga, 90,50m² (AP1057)",360000.0,4000.0,90,3,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:43:37+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/edificio-rachell-apartamento-a-venda-com-3-quartos-1-vaga-90-50m-ap1057-1508245097
olx_olx_dom_271162988767588,OLX,venda,apartamento,Excelente Apartamento em ótima localização,380000.0,4367.82,87,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:18+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/excelente-apartamento-em-otima-localizacao-1481453567
olx_olx_dom_125767201763243,OLX,venda,apartamento,"Apartamento com 3 dormitórios à venda, 119 m² por R$ 390.000,00 - Aldeota - Fortaleza/CE",390000.0,3277.31,119,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:12+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-119-m-por-r-390-000-00-aldeota-fortaleza-ce-1380687726
olx_olx_dom_201602864707708,OLX,venda,apartamento,Apartamento para venda,390000.0,2600.0,150,,,,,,,Aldeota,Fortaleza,CE,,,,,False,False,False,False,False,False,False,False,False,False,False,,,False,2026-06-21T03:35:24+00:00,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-venda-1511998325
